"date","hour","metrics","value"
"20141230","0","PM2.5",115.164705882353
"20141230","0","PM10",151.258064516129
"20141230","0","AQI",176.617647058824
"20141230","1","PM2.5",100.470588235294
"20141230","1","PM10",129.893548387097
"20141230","1","AQI",170.735294117647
"20141230","2","PM2.5",86.5058823529412
"20141230","2","PM10",99.825
"20141230","2","AQI",164.441176470588
"20141230","3","PM2.5",66.0117647058824
"20141230","3","PM10",77.5185185185185
"20141230","3","AQI",157.117647058824
"20141230","4","PM2.5",58.8264705882353
"20141230","4","PM10",63.26
"20141230","4","AQI",149.911764705882
"20141230","5","PM2.5",49.0764705882353
"20141230","5","PM10",54.815
"20141230","5","AQI",142.970588235294
"20141230","6","PM2.5",39.9617647058824
"20141230","6","PM10",50.65
"20141230","6","AQI",136.294117647059
"20141230","7","PM2.5",33.4588235294118
"20141230","7","PM10",43.8272727272727
"20141230","7","AQI",129.941176470588
"20141230","8","PM2.5",32.4117647058824
"20141230","8","PM10",47.424
"20141230","8","AQI",124.058823529412
"20141230","9","PM2.5",37.7
"20141230","9","PM10",60.1833333333333
"20141230","9","AQI",117.852941176471
"20141230","10","PM2.5",43.5088235294118
"20141230","10","PM10",76.1103448275862
"20141230","10","AQI",111.705882352941
"20141230","11","PM2.5",35.4121212121212
"20141230","11","PM10",62.6035714285714
"20141230","11","AQI",105.735294117647
"20141230","12","PM2.5",36.7875
"20141230","12","PM10",67.9555555555555
"20141230","12","AQI",101.735294117647
"20141230","13","PM2.5",39.9424242424242
"20141230","13","PM10",69.0933333333333
"20141230","13","AQI",99.9117647058823
"20141230","14","PM2.5",41.7787878787879
"20141230","14","PM10",68.3827586206897
"20141230","14","AQI",100.878787878788
"20141230","15","PM2.5",42.1382352941176
"20141230","15","PM10",61.0242424242424
"20141230","15","AQI",97.9705882352941
"20141230","16","PM2.5",43.8151515151515
"20141230","16","PM10",71.2484848484848
"20141230","16","AQI",97.1470588235294
"20141230","17","PM2.5",47.1705882352941
"20141230","17","PM10",82.3575757575758
"20141230","17","AQI",95.8235294117647
"20141230","18","PM2.5",52.6088235294118
"20141230","18","PM10",99.9454545454546
"20141230","18","AQI",94.2941176470588
"20141230","19","PM2.5",48.5764705882353
"20141230","19","PM10",101.420588235294
"20141230","19","AQI",92.2058823529412
"20141230","20","PM2.5",36.8352941176471
"20141230","20","PM10",67.441935483871
"20141230","20","AQI",88.5
"20141230","21","PM2.5",21.8882352941176
"20141230","21","PM10",70.2161290322581
"20141230","21","AQI",84.0882352941177
"20141230","22","PM2.5",10.9941176470588
"20141230","22","PM10",128.691176470588
"20141230","22","AQI",80.4411764705882
"20141230","23","PM2.5",11.6470588235294
"20141230","23","PM10",185.279411764706
"20141230","23","AQI",78.0588235294118
"20141229","0","PM2.5",238.848484848485
"20141229","0","PM10",252.77037037037
"20141229","0","AQI",218.117647058824
"20141229","1","PM2.5",234.645454545455
"20141229","1","PM10",235.317391304348
"20141229","1","AQI",214.529411764706
"20141229","2","PM2.5",227.387878787879
"20141229","2","PM10",231.742307692308
"20141229","2","AQI",210.735294117647
