"type","date","metrics","value"
"CO","20181231","1",1.18333333333333
"NO2","20181231","1",64.1666666666667
"O3","20181231","1",6.60869565217391
"SO2","20181231","1",6.70833333333333
"CO","20181231","2",1.375
"NO2","20181231","2",68.8181818181818
"O3","20181231","2",10.125
"SO2","20181231","2",11.0416666666667
"CO","20181231","3",0.8375
"NO2","20181231","3",58.9583333333333
"O3","20181231","3",7.58333333333333
"SO2","20181231","3",9.70833333333333
"CO","20181231","4",1.02083333333333
"NO2","20181231","4",66.0833333333333
"O3","20181231","4",6.5
"SO2","20181231","4",10.4583333333333
"CO","20181231","5",0.970833333333333
"NO2","20181231","5",60.75
"O3","20181231","5",9.91666666666667
"SO2","20181231","5",14.9583333333333
"CO","20181231","6",1.05
"NO2","20181231","6",60.6666666666667
"O3","20181231","6",4.95833333333333
"SO2","20181231","6",11.2916666666667
"CO","20181231","7",0.745833333333333
"NO2","20181231","7",56.75
"O3","20181231","7",10.7083333333333
"SO2","20181231","7",9.45833333333333
"CO","20181231","8",0.822727272727273
"NO2","20181231","8",50.0454545454545
"O3","20181231","8",6.86363636363636
"SO2","20181231","8",3.59090909090909
"CO","20181231","10",0.970833333333333
"NO2","20181231","10",64.125
"O3","20181231","10",10.1666666666667
"SO2","20181231","10",9.16666666666667
"CO","20181231","11",0.6875
"NO2","20181231","11",53.0833333333333
"O3","20181231","11",7.20833333333333
"SO2","20181231","11",7.91666666666667
"CO","20181231","12",0.729166666666667
"NO2","20181231","12",56.625
"O3","20181231","12",6
"SO2","20181231","12",10.375
"CO","20181231","13",1.64166666666667
"NO2","20181231","13",65.0833333333333
"O3","20181231","13",7.16666666666667
"SO2","20181231","13",9.25
"CO","20181231","14",0.933333333333333
"NO2","20181231","14",76.4583333333333
"O3","20181231","14",3.875
"SO2","20181231","14",9.29166666666667
"CO","20181231","15",0.995833333333333
"NO2","20181231","15",71.5
"O3","20181231","15",4.875
"SO2","20181231","15",10.5833333333333
"CO","20181231","16",0.954166666666667
"NO2","20181231","16",70.8333333333333
"O3","20181231","16",4.83333333333333
"SO2","20181231","16",11.2083333333333
"CO","20181231","17",0.917391304347826
"NO2","20181231","17",43.5652173913044
"O3","20181231","17",17.304347826087
"SO2","20181231","17",8.56521739130435
"CO","20181231","18",0.795833333333333
"NO2","20181231","18",43.0416666666667
"O3","20181231","18",11.0833333333333
"SO2","20181231","18",7.33333333333333
"CO","20181231","19",0.725
"NO2","20181231","19",44.5416666666667
"O3","20181231","19",12.625
"SO2","20181231","19",5.41666666666667
"CO","20181231","20",0.791304347826087
"NO2","20181231","20",32.1304347826087
"O3","20181231","20",28.4347826086957
"SO2","20181231","20",5.43478260869565
"CO","20181231","21",0.5875
"NO2","20181231","21",35.7083333333333
"O3","20181231","21",19.7083333333333
"SO2","20181231","21",6.25
"CO","20181231","22",0.775
"NO2","20181231","22",38.0416666666667
"O3","20181231","22",14.25
"SO2","20181231","22",6.29166666666667
"CO","20181231","23",1.25
"NO2","20181231","23",44.7916666666667
"O3","20181231","23",16.6666666666667
"SO2","20181231","23",23.5833333333333
"CO","20181231","24",0.633333333333333
"NO2","20181231","24",36.875
"O3","20181231","24",12.7916666666667
"SO2","20181231","24",4.41666666666667
"CO","20181231","25",0.8
"NO2","20181231","25",53.2916666666667
"O3","20181231","25",11.3333333333333
"SO2","20181231","25",7
"CO","20181231","26",0.55
"NO2","20181231","26",19.9166666666667
"O3","20181231","26",43.6666666666667
"SO2","20181231","26",6.29166666666667
"CO","20181231","27",0.604166666666667
"NO2","20181231","27",36.125
"O3","20181231","27",19.625
"SO2","20181231","27",5.04166666666667
"CO","20181231","28",2.3304347826087
"NO2","20181231","28",76.304347826087
"O3","20181231","28",8.47826086956522
"SO2","20181231","28",14.695652173913
"CO","20181231","29",1.60833333333333
"NO2","20181231","29",65.5
"O3","20181231","29",5.83333333333333
"SO2","20181231","29",11.9583333333333
"CO","20181231","30",0.8875
"NO2","20181231","30",46.4166666666667
"O3","20181231","30",9.625
"SO2","20181231","30",4.625
"CO","20181231","31",1.06666666666667
"NO2","20181231","31",67.125
"O3","20181231","31",12.3333333333333
"SO2","20181231","31",9.45833333333333
"CO","20181231","32",0.958333333333333
"NO2","20181231","32",48.2916666666667
"O3","20181231","32",10.0833333333333
"SO2","20181231","32",11.7083333333333
"CO","20181231","33",1.02083333333333
"NO2","20181231","33",68.8333333333333
"O3","20181231","33",9.58333333333333
"SO2","20181231","33",9.54166666666667
"CO","20181231","34",1.0625
"NO2","20181231","34",73.625
"O3","20181231","34",4.66666666666667
"SO2","20181231","34",14.125
"CO","20181231","35",1.09583333333333
"NO2","20181231","35",72.75
"O3","20181231","35",3.70833333333333
"SO2","20181231","35",18.75
"CO","20181230","1",0.679166666666667
"NO2","20181230","1",37.7916666666667
"O3","20181230","1",16.5
"SO2","20181230","1",1.75
"CO","20181230","2",0.6375
"NO2","20181230","2",46.75
"O3","20181230","2",32.0833333333333
"SO2","20181230","2",6.58333333333333
"CO","20181230","3",0.35
"NO2","20181230","3",33.2916666666667
"O3","20181230","3",28.6666666666667
"SO2","20181230","3",3.04166666666667
"CO","20181230","4",0.470833333333333
"NO2","20181230","4",41.375
"O3","20181230","4",23.375
"SO2","20181230","4",3
"CO","20181230","5",0.3875
"NO2","20181230","5",42.75
"O3","20181230","5",24.5217391304348
"SO2","20181230","5",3.08333333333333
"CO","20181230","6",0.454166666666667
"NO2","20181230","6",38.9583333333333
"O3","20181230","6",22.4583333333333
"SO2","20181230","6",4.66666666666667
"CO","20181230","7",0.508333333333333
"NO2","20181230","7",48
"O3","20181230","7",21.1666666666667
"SO2","20181230","7",5.04166666666667
"CO","20181230","8",0.604347826086956
"NO2","20181230","8",41.7826086956522
"O3","20181230","8",12.6086956521739
"SO2","20181230","8",2.95652173913043
"CO","20181230","10",0.45
"NO2","20181230","10",42.7916666666667
"O3","20181230","10",NA
"SO2","20181230","10",3.33333333333333
"CO","20181230","11",0.420833333333333
"NO2","20181230","11",40.2916666666667
"O3","20181230","11",19.4166666666667
"SO2","20181230","11",3.95833333333333
"CO","20181230","12",0.420833333333333
"NO2","20181230","12",41.7083333333333
"O3","20181230","12",21.25
"SO2","20181230","12",6
"CO","20181230","13",1.38333333333333
"NO2","20181230","13",51.9583333333333
"O3","20181230","13",18.9130434782609
"SO2","20181230","13",3.70833333333333
"CO","20181230","14",0.429166666666667
"NO2","20181230","14",63.7083333333333
"O3","20181230","14",11.25
"SO2","20181230","14",3.625
"CO","20181230","15",0.366666666666667
"NO2","20181230","15",51.9166666666667
"O3","20181230","15",15.75
"SO2","20181230","15",3.66666666666667
"CO","20181230","16",0.265217391304348
"NO2","20181230","16",37.25
"O3","20181230","16",27.625
"SO2","20181230","16",2.875
"CO","20181230","17",0.48695652173913
"NO2","20181230","17",21.4782608695652
"O3","20181230","17",45.2608695652174
"SO2","20181230","17",3.08695652173913
"CO","20181230","18",0.629166666666667
"NO2","20181230","18",28.8333333333333
"O3","20181230","18",34.4166666666667
"SO2","20181230","18",7.16666666666667
"CO","20181230","19",0.826086956521739
"NO2","20181230","19",41.695652173913
"O3","20181230","19",16.8260869565217
"SO2","20181230","19",7.47826086956522
"CO","20181230","20",0.4625
"NO2","20181230","20",17.8333333333333
"O3","20181230","20",43.7826086956522
"SO2","20181230","20",2.70833333333333
"CO","20181230","21",0.3375
"NO2","20181230","21",20.4583333333333
"O3","20181230","21",34.7826086956522
"SO2","20181230","21",12.6666666666667
"CO","20181230","22",0.433333333333333
"NO2","20181230","22",17.952380952381
"O3","20181230","22",37.9047619047619
"SO2","20181230","22",1.61904761904762
"CO","20181230","23",1.33333333333333
"NO2","20181230","23",45.7083333333333
"O3","20181230","23",15.2916666666667
"SO2","20181230","23",26.5833333333333
"CO","20181230","24",0.541666666666667
"NO2","20181230","24",21.125
"O3","20181230","24",32.7083333333333
"SO2","20181230","24",6.5
"CO","20181230","25",0.825
"NO2","20181230","25",46.25
"O3","20181230","25",17.75
"SO2","20181230","25",13.6666666666667
"CO","20181230","26",0.245833333333333
"NO2","20181230","26",5.875
"O3","20181230","26",67.5833333333333
"SO2","20181230","26",2.08333333333333
"CO","20181230","27",0.258333333333333
"NO2","20181230","27",13
"O3","20181230","27",42.2916666666667
"SO2","20181230","27",2.20833333333333
"CO","20181230","28",1.4375
"NO2","20181230","28",55.0416666666667
"O3","20181230","28",18.6666666666667
"SO2","20181230","28",6.875
"CO","20181230","29",0.672727272727273
"NO2","20181230","29",47.6363636363636
"O3","20181230","29",12.7727272727273
"SO2","20181230","29",4.86363636363636
"CO","20181230","30",0.6375
"NO2","20181230","30",34.4583333333333
"O3","20181230","30",20.4166666666667
"SO2","20181230","30",2.75
"CO","20181230","31",0.554166666666667
"NO2","20181230","31",45.0416666666667
"O3","20181230","31",39.8260869565217
"SO2","20181230","31",3.54166666666667
"CO","20181230","32",0.526086956521739
"NO2","20181230","32",33.304347826087
"O3","20181230","32",27.5714285714286
"SO2","20181230","32",5.56521739130435
"CO","20181230","33",0.533333333333333
"NO2","20181230","33",50.5416666666667
"O3","20181230","33",25.0434782608696
"SO2","20181230","33",4.20833333333333
"CO","20181230","34",0.552173913043478
"NO2","20181230","34",58.3478260869565
"O3","20181230","34",14.7826086956522
"SO2","20181230","34",5.52173913043478
"CO","20181230","35",0.529166666666667
"NO2","20181230","35",62
"O3","20181230","35",12.6666666666667
"SO2","20181230","35",11.0833333333333
"CO","20181229","1",0.666666666666667
"NO2","20181229","1",24.9166666666667
"O3","20181229","1",29.7083333333333
"SO2","20181229","1",2
"CO","20181229","2",0.61304347826087
"NO2","20181229","2",32.6521739130435
"O3","20181229","2",45.695652173913
"SO2","20181229","2",7.73913043478261
"CO","20181229","3",0.283333333333333
"NO2","20181229","3",24.8333333333333
"O3","20181229","3",38
"SO2","20181229","3",2.79166666666667
"CO","20181229","4",0.395833333333333
"NO2","20181229","4",25.7083333333333
"O3","20181229","4",36.5416666666667
"SO2","20181229","4",3.375
"CO","20181229","5",0.341666666666667
"NO2","20181229","5",27.125
"O3","20181229","5",38.625
"SO2","20181229","5",4.75
"CO","20181229","6",0.429166666666667
"NO2","20181229","6",26.4166666666667
"O3","20181229","6",34.5833333333333
"SO2","20181229","6",6.08333333333333
"CO","20181229","7",0.566666666666667
"NO2","20181229","7",28.9166666666667
"O3","20181229","7",40.4583333333333
"SO2","20181229","7",4.45833333333333
"CO","20181229","8",0.284615384615385
"NO2","20181229","8",12.6086956521739
"O3","20181229","8",45.1304347826087
"SO2","20181229","8",2.91304347826087
"CO","20181229","10",0.372727272727273
"NO2","20181229","10",41.1363636363636
"O3","20181229","10",25.5714285714286
"SO2","20181229","10",3.41666666666667
"CO","20181229","11",0.230434782608696
"NO2","20181229","11",16.047619047619
"O3","20181229","11",47.5217391304348
