地区,,code,人均水资源量立方米人2011,年末常住人口万人2011,生活垃圾无害化处理率2011,森林覆盖率2011,废水排放总量吨万人2011,二氧化硫排放量吨万人2011,烟粉尘排放吨万人2011,化学需氧量排放量吨万人2011,aqi2011,人均水资源量立方米人2008,年末常住人口万人2008,生活垃圾无害化处理率2008,森林覆盖率2008,废水排放总量吨万人2008,二氧化硫排放量吨万人2008,烟粉尘排放吨万人2008,化学需氧量排放量吨万人2008,aqi2008,人均水资源量立方米人2014,年末常住人口万人2014,生活垃圾无害化处理率2014,森林覆盖率2014,废水排放总量吨万人2014,二氧化硫排放量吨万人2014,烟粉尘排放吨万人2014,化学需氧量排放量吨万人2014,aqi2014
,region,code,water_2011,population_2011,waste_2011,forest_2011,wastewater_2011,sulfur_2011,smoke_2011,oxygen_2011,aqi_2011,water_2008,population_2008,waste_2008,forest_2008,wastewater_2008,sulfur_2008,smoke_2008,oxygen_2008,aqi_2008,water_2014,population_2014,waste_2014,forest_2014,wastewater_2014,sulfur_2014,smoke_2014,oxygen_2014,aqi_2014
北京市,Beijing,11,134.71,2019,98.2,35.8,720500,48.4810946,32.61418524,95.69093611,107.4166667,205.53,1771,97.7,21.3,639520.0452,69.45228684,35.90118577,57.0299266,78.16666667,95.15,2152,99.6,35.8,700341.868,36.66637082,26.66006041,78.43866171,119.6666667
天津市,Tianjin,12,115.96,1355,100,9.9,495549.3727,170.4059041,56.03138745,174.0221402,95.16666667,159.76,1176,93.5,8.1,520654.7619,204.0816327,66.0212585,113.0952381,69.41666667,76.08,1517,96.7,9.9,589066.8425,137.9037574,91.96537245,141.2656559,103.75
河北省,Hebei,13,217.75,7241,72.599,23.4,384686.1759,195.0184684,182.6373609,191.7967132,79.83333333,231.12,6989,57.2,17.7,335809.1286,192.4452711,153.8975533,86.56460152,83.41666667,144.27,7384,86.6,23.4,419588.2449,161.1460672,243.4565845,171.7903575,143.4166667
山西省,Shanxi,14,346.96,3593,77.5,18,323217.3949,389.382491,314.4598052,136.2649596,75.58333333,256.91,3411,47.5,13.3,313430.0792,383.4652595,352.6411609,105.2477279,84.58333333,305.06,3648,92.1,18,397569.8739,331.2021053,413.0422204,120.9703947,104.9166667
内蒙古自治区,Neimenggu,15,1691.59,2482,83.5,21,404468.1305,567.8502538,298.0965753,370.2659146,69.75,1710.31,2444,55,17.7,288138.2979,585.5155483,322.6031097,114.5662848,63,2149.89,2505,96.1,21,446774.1717,523.9266946,407.7885749,338.4031936,92.58333333
辽宁省,Liaoning,21,673.2,4383,80.5,38.2,529881.4054,256.9404107,158.1472987,306.5023956,76.16666667,617.67,4315,59.8,33,491358.0533,262.1089224,222.3555041,135.3418308,75.25,332.37,4391,91.6,38.2,598676.7479,226.5081758,255.2269278,277.1578228,128.1666667
吉林省,Jilin,22,1149.52,2749,49.2,40.4,422562.2408,150.3057548,157.2137723,300,73.16666667,1215.23,2734,32.6,38.1,394224.5794,138.2589612,161.7878566,136.7959034,63.16666667,1112.23,2752,61.9,40.4,443934.0843,135.2674419,172.650069,269.9854651,109.3333333
黑龙江省,Heilongjiang,23,1641.97,3834,43.7,43.2,392960.3808,136.1231586,171.0665884,411.1893584,66.16666667,1208,3825,26.4,39.5,290185.6209,132.2875817,153.8091503,124.4444444,64,2463.08,3833,58.9,43.2,390408.8442,123.2059483,207.0306731,371.4844769,110.25
上海市,Shanghai,31,89.12,2347,61,10.7,912463.1018,102.3014487,38.27371112,106.0928845,68.25,197.54,2141,74.4,3.2,1045077.067,208.313872,53.37132181,124.7080803,70.25,194.79,2426,100,10.7,911622.9596,77.55530091,58.38833471,92.49793899,79.91666667
